#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
CACMDMJA_00984       -          pfam_full_set        -            1.4e-86  286.4  23.7   1.6e-86  286.2  23.7   1.0   1   0   0   1   1   1   1 Sporulation initiation inhibitor protein Soj
CACMDMJA_01189       -          pfam_full_set        -            1.5e-86  286.2  19.1   1.7e-86  286.1  19.1   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01230       -          pfam_full_set        -            6.6e-85  280.9  15.5   7.5e-85  280.7  15.5   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01340       -          pfam_full_set        -            1.5e-84  279.7  17.8   1.7e-84  279.5  17.8   1.0   1   0   0   1   1   1   1 Sporulation initiation inhibitor protein Soj
CACMDMJA_01267       -          pfam_full_set        -            1.5e-83  276.4  23.2   1.7e-83  276.3  23.2   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01158       -          pfam_full_set        -            1.3e-82  273.4  22.9   1.4e-82  273.3  22.9   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01040       -          pfam_full_set        -            1.9e-82  272.8  18.4   2.1e-82  272.7  18.4   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01270       -          pfam_full_set        -            2.2e-82  272.7  17.8   2.5e-82  272.5  17.8   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01206       -          pfam_full_set        -            3.4e-82  272.0  16.4   3.7e-82  271.9  16.4   1.0   1   0   0   1   1   1   1 Sporulation initiation inhibitor protein Soj
CACMDMJA_00369       -          pfam_full_set        -            2.6e-70  233.1  24.3   3.4e-70  232.7  24.3   1.2   1   0   0   1   1   1   1 Iron-sulfur cluster carrier protein
CACMDMJA_00456       -          pfam_full_set        -            3.9e-68  225.9  10.8   5.2e-68  225.6  10.8   1.0   1   0   0   1   1   1   1 Flagellum site-determining protein YlxH
CACMDMJA_01312       -          pfam_full_set        -              4e-67  222.6  23.9   4.5e-67  222.5  23.9   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01287       -          pfam_full_set        -            3.9e-66  219.4  14.5   4.4e-66  219.2  14.5   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_00187       -          pfam_full_set        -            1.2e-64  214.5   7.7   1.4e-64  214.3   7.7   1.0   1   0   0   1   1   1   1 Iron-sulfur cluster carrier protein
CACMDMJA_01310       -          pfam_full_set        -            5.4e-60  199.3  18.2     6e-60  199.1  18.2   1.0   1   0   0   1   1   1   1 Sporulation initiation inhibitor protein Soj
CACMDMJA_01186       -          pfam_full_set        -            9.8e-59  195.2   0.8   1.2e-58  194.9   0.8   1.0   1   0   0   1   1   1   1 Chromosome-partitioning ATPase Soj
CACMDMJA_00735       -          pfam_full_set        -            2.4e-52  174.2  28.7   2.6e-52  174.1  28.7   1.0   1   0   0   1   1   1   1 Sporulation initiation inhibitor protein Soj
CACMDMJA_01181       -          pfam_full_set        -            2.6e-50  167.5   1.1   3.1e-50  167.3   1.1   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01364       -          pfam_full_set        -            2.9e-42  141.2  14.1   3.3e-42  141.0  14.1   1.1   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01360       -          pfam_full_set        -            2.4e-38  128.4  13.1   2.6e-38  128.3  13.1   1.0   1   0   0   1   1   1   1 hypothetical protein
CACMDMJA_01195       -          pfam_full_set        -            1.1e-09   34.4   6.8   8.8e-08   28.2   0.9   2.0   1   1   1   2   2   2   2 hypothetical protein
CACMDMJA_00155       -          pfam_full_set        -             0.0003   16.6   0.1    0.0003   16.6   0.1   4.1   2   2   2   4   4   4   1 Signal recognition particle protein
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      pfam_full.hmm
# Target file:     ../results/prokka/UMA8/prokka_annotated.faa
# Option settings: hmmsearch --tblout foo.tsv pfam_full.hmm ../results/prokka/UMA8/prokka_annotated.faa 
# Current dir:     /Users/jy17/Dropbox (Personal)/Tick/borrelia/borreliaseq/blast
# Date:            Tue Feb  7 12:21:10 2023
# [ok]
